rank,workflow_id,title,process_area,file,monthly_hours_low,monthly_hours_high,fte_high,effort_steps,automated_steps,cadence_only_steps,qualitative_steps,elapsed_days_low,elapsed_days_high,per_unit_rates,live_or_dormant,dormant_capabilities
17,W709,Enterprise Data Governance & Quality Management Operations,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.1-service-management.md,55.40,82.43,0.475,5,0,0,0,0.0,0.0,1,live,
18,W1429,"E-Commerce BOPIS Same-Day Pick SLA Monitoring, Exception Escalation & Customer Notification",VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.2-order-fulfillment-and-delivery.md,52.06,78.09,0.450,2,1,0,0,0.0,0.0,1,live,
19,W1027,Customer AI-Powered Chatbot & Virtual Shopping Assistant Operations,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,51.96,77.94,0.449,2,1,0,0,0.0,0.0,1,live,
20,W1301,E-Wallet (GCash/Maya) Settlement Reconciliation & Discrepancy Resolution,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,43.21,71.33,0.411,4,1,0,0,0.0,0.0,0,live,
21,W2302,Fulfillment KPI Dashboard,VS-60-omnichannel-order-routing,01-model-company/workflows/VS-60-omnichannel-order-routing/PA-60.3-fulfillment-performance-analytics.md,47.40,71.10,0.410,1,0,0,0,0.0,0.0,0,live,
22,W1354,"Store Daily Cash Deposit Preparation, Armored Car Pickup & Bank Credit Reconciliation",VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,44.48,66.18,0.381,2,0,0,1,0.0,0.0,0,live,
23,W676,Digital Marketing Campaign Operations & Cross-Channel Execution,VS-14-marketing,01-model-company/workflows/VS-14-marketing/PA-14.2-digital-marketing-and-social-media.md,65.10,65.10,0.375,2,0,0,0,3.0,3.0,0,live,
24,W2200,Customer Home Delivery SLA Management,VS-56-third-party-delivery-partner,01-model-company/workflows/VS-56-third-party-delivery-partner/PA-56.2-delivery-performance-sla.md,43.40,65.10,0.375,1,0,0,0,0.0,0.0,0,live,
25,W2421,Marketplace Customer Review Management,VS-65-ecommerce-marketplace-integration,01-model-company/workflows/VS-65-ecommerce-marketplace-integration/PA-65.2-marketplace-order-inventory-sync.md,43.40,65.10,0.375,1,0,0,0,0.0,0.0,0,dormant,CAP-C03
26,W2490,Overdue Payment Monitoring & Escalation,VS-68-trade-credit-risk-management,01-model-company/workflows/VS-68-trade-credit-risk-management/PA-68.2-credit-limit-management-monitoring.md,43.40,65.10,0.375,1,0,0,0,0.0,0.0,0,dormant,CAP-B02
27,W130,Competitor Price Intelligence Gathering,VS-01-merchandise-strategy,01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,64.95,64.95,0.374,4,0,2,0,0.0,0.0,0,live,
28,W710,Loss Prevention Analytics & Shrinkage Investigation System Operations,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.1-service-management.md,34.36,62.39,0.359,3,0,0,1,0.0,0.0,3,live,
29,W798,"DC Building Maintenance, Utility Operations & Facility Condition Monitoring",VS-04-dc-warehouse,01-model-company/workflows/VS-04-dc-warehouse/PA-04.3-dc-operations-management.md,44.84,59.50,0.343,5,0,1,1,0.0,0.0,0,live,
30,W714,Store-Level Daily Financial Summary Reporting & Flash P&L,VS-15-procure-to-pay,01-model-company/workflows/VS-15-procure-to-pay/PA-15.2-vendor-payment-and-reconciliation.md,35.78,58.20,0.335,4,2,0,0,0.0,0.0,0,live,
31,W595,ERP System Daily Health Check & Integration Monitoring,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.2-infrastructure-and-platform.md,41.69,57.87,0.333,11,3,0,0,0.0,0.0,0,live,
32,W1463,"TikTok Shop Integration, Content-to-Commerce & Livestream Selling Operations",VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.3-marketplace-and-social-commerce.md,43.30,56.29,0.324,3,0,1,0,0.0,0.0,2,dormant,CAP-C03;CAP-C04
33,W1896,Trade Community Online Forum & Knowledge Base Management,VS-43-trade-professional-program,01-model-company/workflows/VS-43-trade-professional-program/PA-43.3-trade-training-community.md,34.55,56.25,0.324,3,0,0,0,0.0,0.0,0,dormant,CAP-B04
34,W368,Database & Cloud Infrastructure Management,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.2-infrastructure-and-platform.md,56.06,56.06,0.323,3,0,0,1,0.0,0.0,1,live,
35,W1038,Vendor Catalog Synchronization & Product Information Quality Audit,VS-03-vendor-management,01-model-company/workflows/VS-03-vendor-management/PA-03.1-vendor-sourcing-and-onboarding.md,37.99,54.99,0.317,4,1,0,0,0.0,0.0,0,live,
36,W1779,Financing Partner Daily Settlement Reconciliation,VS-38-consumer-credit-financing,01-model-company/workflows/VS-38-consumer-credit-financing/PA-38.3-financing-reconciliation-settlement.md,32.55,54.25,0.312,2,2,0,0,0.0,0.0,0,live,
37,W1228,DC Multi-Stop Route Optimization & Dynamic Load Consolidation for Store Delivery,VS-06-logistics-fleet,01-model-company/workflows/VS-06-logistics-fleet/PA-06.1-outbound-distribution.md,52.06,52.06,0.300,5,0,0,1,0.0,0.0,1,live,
38,W1785,Ecommerce Financing Settlement Reconciliation,VS-38-consumer-credit-financing,01-model-company/workflows/VS-38-consumer-credit-financing/PA-38.3-financing-reconciliation-settlement.md,29.70,51.40,0.296,2,1,0,0,0.0,0.0,0,live,
39,W572,Customer Credit Monitoring & Automated Alert Management,VS-16-order-to-cash,01-model-company/workflows/VS-16-order-to-cash/PA-16.1-credit-application-and-scoring.md,28.37,51.07,0.294,4,1,0,1,0.0,0.0,6,live,
40,W736,Marketing Data Platform Daily Operations & Campaign Analytics,VS-14-marketing,01-model-company/workflows/VS-14-marketing/PA-14.2-digital-marketing-and-social-media.md,30.36,50.96,0.294,4,0,0,0,0.0,0.0,0,live,
41,W796,"DC Workforce Scheduling, Labor Planning & Productivity Tracking",VS-04-dc-warehouse,01-model-company/workflows/VS-04-dc-warehouse/PA-04.3-dc-operations-management.md,33.60,50.39,0.290,4,0,1,2,0.0,0.0,0,live,
42,W5502,"Employee Financial Wellness Program — Literacy Education, Salary-Linked Lender Governance & Debt-Stress Support",VS-83-occupational-health-clinic-wellness,01-model-company/workflows/VS-83-occupational-health-clinic-wellness/PA-83.3-mental-health-wellness-eap.md,37.50,50.33,0.290,7,0,0,0,2.0,3.0,1,live,
43,W1226,DC Cross-Dock Operations for Fast-Moving Items & Direct-to-Truck Fulfillment,VS-04-dc-warehouse,01-model-company/workflows/VS-04-dc-warehouse/PA-04.2-dc-outbound-operations.md,27.12,48.82,0.281,2,0,0,0,0.0,0.0,3,live,
44,W37,Loss Prevention & Exception Reporting,VS-22-compliance-regulatory,01-model-company/workflows/VS-22-compliance-regulatory/PA-22.1-regulatory-permits-and-licenses.md,24.70,46.40,0.267,3,3,1,1,0.0,0.0,2,live,
45,W1177,"Enterprise Data Governance Council, Standards & Stewardship Program",VS-28-data-analytics-bi,01-model-company/workflows/VS-28-data-analytics-bi/PA-28.2-data-engineering-and-quality.md,36.65,45.31,0.261,5,0,0,0,0.0,0.0,0,live,
46,W1487,"Store Garden Center & Plant Nursery Seasonal Assortment Rotation, Vendor-Managed Inventory & Markdown Optimization",VS-01-merchandise-strategy,01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,31.36,44.88,0.259,3,0,0,1,0.0,0.0,1,live,
47,W30,Daily Treasury & Cash Position Management,VS-18-treasury-cash,01-model-company/workflows/VS-18-treasury-cash/PA-18.1-cash-positioning-and-forecasting.md,43.78,43.78,0.252,5,2,0,1,0.0,0.0,2,live,
48,W174,Store-Level Cash-in-Transit (CIT) & Armored Car Management,VS-16-order-to-cash,01-model-company/workflows/VS-16-order-to-cash/PA-16.1-credit-application-and-scoring.md,43.40,43.40,0.250,1,1,1,0,0.0,0.0,0,live,
49,W1990,Service Visit Scheduling & Dispatch Management,VS-47-subscription-recurring-services,01-model-company/workflows/VS-47-subscription-recurring-services/PA-47.3-service-fulfillment-quality.md,21.70,43.40,0.250,1,1,1,0,0.0,0.0,0,live,
50,W2158,Daily Gift Card Liability Reconciliation,VS-54-gift-card-stored-value,01-model-company/workflows/VS-54-gift-card-stored-value/PA-54.3-gift-card-reconciliation-analytics.md,21.70,43.40,0.250,1,0,0,0,0.0,0.0,0,live,
51,W2199,SLA Compliance Monitoring,VS-56-third-party-delivery-partner,01-model-company/workflows/VS-56-third-party-delivery-partner/PA-56.2-delivery-performance-sla.md,21.70,43.40,0.250,1,0,0,0,0.0,0.0,0,live,
52,W2204,Multi-Stop Route Optimization,VS-56-third-party-delivery-partner,01-model-company/workflows/VS-56-third-party-delivery-partner/PA-56.2-delivery-performance-sla.md,21.70,43.40,0.250,1,0,0,0,0.0,0.0,0,live,
53,W2292,Fulfillment Priority & SLA Management,VS-60-omnichannel-order-routing,01-model-company/workflows/VS-60-omnichannel-order-routing/PA-60.1-intelligent-order-routing.md,21.70,43.40,0.250,1,0,0,0,0.0,0.0,0,live,
54,W2418,Marketplace Pricing Sync & Competitor Monitoring,VS-65-ecommerce-marketplace-integration,01-model-company/workflows/VS-65-ecommerce-marketplace-integration/PA-65.2-marketplace-order-inventory-sync.md,21.70,43.40,0.250,1,0,0,0,0.0,0.0,0,dormant,CAP-C03
55,W2756,BIR EIS E-Invoicing Transmission & Daily Sales Report Sync,VS-79-tax-management-bir-reporting,01-model-company/workflows/VS-79-tax-management-bir-reporting/PA-79.1-indirect-tax-vat-and-einvoicing.md,21.70,43.40,0.250,1,0,1,1,0.0,0.0,0,live,
56,W1422,"Seasonal Merchandise Forward Buy Planning, Import Pre-Booking & Arrival Calendar Management",VS-01-merchandise-strategy,01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,22.66,42.32,0.244,5,0,0,0,0.0,0.0,0,live,
57,W728,Port & Customs Clearance Daily Status Tracking & Escalation,VS-02-supply-planning,01-model-company/workflows/VS-02-supply-planning/PA-02.2-import-and-customs-operations.md,25.32,41.59,0.240,5,0,0,0,0.0,0.0,0,live,
58,W1872,PFRS 16 Lease Accounting — Month-End Processing & Disclosure,VS-42-property-lease-admin,01-model-company/workflows/VS-42-property-lease-admin/PA-42.3-property-tax-compliance.md,22.00,41.33,0.238,4,0,0,0,0.0,0.0,0,live,
59,W1568,"Executive Strategy Dashboard, C-Suite Performance Reporting & Board-Level Analytics Package",VS-28-data-analytics-bi,01-model-company/workflows/VS-28-data-analytics-bi/PA-28.1-bi-platform-and-reporting.md,35.99,41.32,0.238,4,0,0,0,0.0,0.0,0,live,
60,W734,Data Quality Daily Triage & Remediation Operations,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.2-infrastructure-and-platform.md,22.41,41.21,0.237,3,0,0,0,0.0,0.0,1,live,
61,W323,Cash Concentration & Inter-Entity Pooling Operations,VS-18-treasury-cash,01-model-company/workflows/VS-18-treasury-cash/PA-18.1-cash-positioning-and-forecasting.md,40.14,40.14,0.231,6,0,0,0,0.0,0.0,1,live,
62,W2678,Local Business Tax Computation & Payment Across LGUs,VS-76-multi-region-lgu-compliance,01-model-company/workflows/VS-76-multi-region-lgu-compliance/PA-76.2-local-tax-regulatory-variation-management.md,21.33,40.00,0.230,2,0,1,0,0.0,0.0,0,live,
63,W1252,"Supply Chain Predictive Analytics, Demand Sensing & Early Warning System",VS-28-data-analytics-bi,01-model-company/workflows/VS-28-data-analytics-bi/PA-28.3-advanced-analytics.md,39.64,39.64,0.228,4,0,0,0,0.0,0.0,1,live,
64,W737,Markdown Optimization & Analytics Operations,VS-01-merchandise-strategy,01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,19.48,38.97,0.224,4,0,0,0,0.0,0.0,0,live,
65,W1528,Store-Level Construction Material High-Value Shrinkage Hotspot Monitoring & Intervention,VS-23-loss-prevention,01-model-company/workflows/VS-23-loss-prevention/PA-23.3-shrinkage-reduction.md,22.65,38.31,0.221,4,0,0,0,0.0,0.0,1,live,
66,W1216,Vendor-Managed Inventory (VMI) Replenishment Monitoring & Exception Management,VS-05-inventory-lifecycle,01-model-company/workflows/VS-05-inventory-lifecycle/PA-05.3-inventory-disposition-and-optimization.md,38.21,38.21,0.220,7,0,0,0,0.0,0.0,0,live,
67,W725,Ecommerce Platform Daily Health Monitoring & Performance Dashboard,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.1-ecommerce-platform-operations.md,26.03,37.59,0.217,5,0,0,0,0.0,0.0,0,live,
68,W727,Carrier & Freight Forwarder Daily Performance Monitoring,VS-02-supply-planning,01-model-company/workflows/VS-02-supply-planning/PA-02.3-supply-chain-orchestration-and-risk.md,24.22,37.59,0.217,4,0,0,0,0.0,0.0,1,live,
69,W726,Ecommerce Product Content Enrichment & Catalog Daily Operations,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.1-ecommerce-platform-operations.md,20.25,36.88,0.212,3,0,0,0,0.0,0.0,2,live,
70,W1470,"Marketplace Customer Review Management, Seller Rating Optimization & Dispute Resolution",VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.3-marketplace-and-social-commerce.md,36.55,36.55,0.211,3,0,0,0,0.0,0.0,2,dormant,CAP-C03;CAP-C04
71,W1255,"Inter-Island Consolidated Shipping, Vessel Booking & RoRo Space Optimization",VS-06-logistics-fleet,01-model-company/workflows/VS-06-logistics-fleet/PA-06.1-outbound-distribution.md,36.50,36.50,0.210,4,0,0,0,0.0,0.0,1,live,
72,W1434,"Loyalty Program Partner Quarterly Rebate Settlement, Tier Benefit Cost Allocation & ROI Analysis",VS-13-customer-experience,01-model-company/workflows/VS-13-customer-experience/PA-13.2-loyalty-program-operations.md,20.67,35.33,0.204,5,0,0,0,0.0,0.0,0,live,
73,W1468,"Multi-Entity Cash Concentration, Zero-Balance Sweeping & Intercompany Settlement Automation",VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,34.65,34.65,0.200,4,0,0,0,0.0,0.0,0,live,
74,W1420,"Trade Account Monthly Statement Generation, Aging Analysis & Field Collection Route Planning",VS-16-order-to-cash,01-model-company/workflows/VS-16-order-to-cash/PA-16.2-ar-and-collections.md,21.65,34.64,0.200,3,0,0,0,0.0,0.0,0,live,
75,W2563,Online Marketplace Counterfeit Monitoring & Takedown,VS-71-anti-counterfeit-authentication,01-model-company/workflows/VS-71-anti-counterfeit-authentication/PA-71.2-counterfeit-detection-investigation.md,21.65,34.64,0.200,2,0,0,0,0.0,0.0,1,live,
76,W918,Customer Project Budget Tracking & Material Cost Variance Management,VS-11-trade-project-wholesale,01-model-company/workflows/VS-11-trade-project-wholesale/PA-11.2-project-sales-and-b2b.md,23.32,33.98,0.196,2,1,0,0,0.0,0.0,2,dormant,CAP-B01
77,W5501,"Climate Physical & Transition Risk Assessment, Scenario Analysis & Resilience Response Planning",VS-21-internal-audit-risk,01-model-company/workflows/VS-21-internal-audit-risk/PA-21.2-enterprise-risk-management.md,22.67,33.33,0.192,7,0,0,0,0.0,0.0,0,live,
78,W3195,"Rent Billing, CAM Recovery & Tenant Receivables",VS-97-corporate-real-estate-property-portfolio,01-model-company/workflows/VS-97-corporate-real-estate-property-portfolio/PA-97.2-landlord-leasing-tenant-management.md,20.00,33.33,0.192,1,0,1,0,2.0,3.0,0,live,
79,W1819,Project Cost Capture & Allocation,VS-40-capex-project-accounting,01-model-company/workflows/VS-40-capex-project-accounting/PA-40.2-project-cost-tracking.md,16.66,33.32,0.192,2,1,0,1,0.0,0.0,0,live,
80,W1268,E-Wallet (GCash/Maya) Daily Settlement & Reconciliation,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,32.45,32.45,0.187,5,3,0,0,0.0,0.0,1,live,
81,W1119,Store-Level Outdoor Garden Center Seasonal Plant Inventory Lifecycle,VS-07-store-operations,01-model-company/workflows/VS-07-store-operations/PA-07.2-store-facility-and-safety.md,20.61,32.17,0.185,3,0,0,0,0.0,0.0,2,live,
82,W733,Enterprise API Gateway Daily Monitoring & Health Dashboard,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.2-infrastructure-and-platform.md,18.80,32.17,0.185,4,0,0,0,0.0,0.0,0,live,
83,W1913,Digital Commerce Competitive Benchmarking & Online Price Monitoring,VS-44-consumer-insights-market-research,01-model-company/workflows/VS-44-consumer-insights-market-research/PA-44.2-market-competitive-intelligence.md,24.00,32.00,0.184,2,0,1,0,0.0,0.0,0,live,
84,W917,Ecommerce Live Commerce & Social Selling Operations,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.3-marketplace-and-social-commerce.md,21.32,31.98,0.184,2,0,0,0,0.0,0.0,2,dormant,CAP-C03;CAP-C04
85,W713,Corporate Credit Card Program Management & Expense Reconciliation,VS-15-procure-to-pay,01-model-company/workflows/VS-15-procure-to-pay/PA-15.2-vendor-payment-and-reconciliation.md,17.18,31.70,0.183,4,0,0,1,0.0,0.0,1,live,
86,W106,DC Outbound Dispatch & Load Planning,VS-04-dc-warehouse,01-model-company/workflows/VS-04-dc-warehouse/PA-04.2-dc-outbound-operations.md,20.60,31.45,0.181,3,1,1,1,0.0,0.0,4,live,
87,W5509,"Unfulfilled-Demand & Lost-Sales Capture, Substitution Analytics & Replenishment Feedback",VS-02-supply-planning,01-model-company/workflows/VS-02-supply-planning/PA-02.1-demand-forecasting-and-sandop.md,22.32,30.98,0.178,5,1,0,0,0.0,0.0,1,live,
88,W2598,Store-Level Waste Segregation & Daily Collection,VS-73-store-waste-circular-economy,01-model-company/workflows/VS-73-store-waste-circular-economy/PA-73.1-store-waste-segregation-collection.md,21.70,30.74,0.177,3,0,0,0,0.0,0.0,0,live,
89,W1497,"Store-Level Anti-Theft Cable & Sensor Tag Deployment, Deactivation Compliance & Equipment Maintenance",VS-23-loss-prevention,01-model-company/workflows/VS-23-loss-prevention/PA-23.3-shrinkage-reduction.md,19.52,30.70,0.177,3,0,0,0,0.0,0.0,2,live,
90,W1112,Store-Level Inventory Age-Based Auto-Markdown & Clearance Trigger,VS-07-store-operations,01-model-company/workflows/VS-07-store-operations/PA-07.3-store-receiving-and-replenishment.md,16.99,30.36,0.175,3,1,1,0,0.0,0.0,0,live,
91,W1953,Government Procurement Calendar Monitoring & Opportunity Identification,VS-46-government-institutional-sales,01-model-company/workflows/VS-46-government-institutional-sales/PA-46.1-government-registration-qualification.md,15.18,30.36,0.175,2,0,1,0,0.0,0.0,0,live,
92,W1250,"Store Foot Traffic Analytics, Conversion Rate Monitoring & Sales Floor Productivity Insights",VS-28-data-analytics-bi,01-model-company/workflows/VS-28-data-analytics-bi/PA-28.1-bi-platform-and-reporting.md,30.32,30.32,0.175,5,0,0,0,0.0,0.0,0,live,
93,W1512,"Omnichannel Customer Unified Profile, Identity Resolution & Cross-Channel Activity Merge",VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.1-ecommerce-platform-operations.md,20.32,29.98,0.173,2,1,0,1,0.0,0.0,3,live,
94,W591,E-Commerce Fulfillment SLA Monitoring & Exception Escalation,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.2-order-fulfillment-and-delivery.md,29.84,29.84,0.172,5,1,0,0,0.0,0.0,2,live,
95,W1515,"Delivery Vehicle Fuel Card Management, Consumption Tracking & Cost Control",VS-06-logistics-fleet,01-model-company/workflows/VS-06-logistics-fleet/PA-06.2-fleet-and-driver-management.md,16.18,29.70,0.171,4,0,0,0,0.0,0.0,2,live,
96,W1278,Store-Level Competitor Price Monitoring & Market Intelligence Reporting,VS-01-merchandise-strategy,01-model-company/workflows/VS-01-merchandise-strategy/PA-01.2-pricing-and-promotions.md,29.59,29.59,0.170,6,1,0,0,0.0,0.0,0,live,
97,W31,Demand Forecasting Cycle,VS-02-supply-planning,01-model-company/workflows/VS-02-supply-planning/PA-02.1-demand-forecasting-and-sandop.md,19.65,28.98,0.167,5,3,0,0,0.0,0.0,0,live,
98,W1511,"Store-Level Community Engagement, Barangay Relations & Local Partnership Management",VS-07-store-operations,01-model-company/workflows/VS-07-store-operations/PA-07.1-store-daily-management.md,15.33,28.33,0.163,6,0,0,0,0.0,0.0,1,live,
99,W367,Cybersecurity Operations & Vulnerability Management,VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.3-cybersecurity-and-privacy.md,27.31,27.31,0.157,3,0,3,0,0.0,0.0,0,live,
100,W1531,"Philippine Store WAN Connectivity Monitoring, ISP SLA Management & Failover Testing",VS-27-it-operations-security,01-model-company/workflows/VS-27-it-operations-security/PA-27.2-infrastructure-and-platform.md,16.15,26.93,0.155,4,0,0,0,0.0,0.0,0,live,
101,W2012,Seasonal Media Package Development & Sales,VS-48-retail-media-network,01-model-company/workflows/VS-48-retail-media-network/PA-48.2-vendor-advertising-campaign-execution.md,20.00,26.67,0.154,2,0,1,0,0.0,0.0,0,live,
102,W486,Related Party Transaction Disclosure & Reporting (PAS 24),VS-15-procure-to-pay,01-model-company/workflows/VS-15-procure-to-pay/PA-15.1-invoice-processing-and-matching.md,19.33,26.67,0.154,6,0,1,0,0.0,0.0,0,live,
103,W2468,Vendor Scorecard System Enhancement,VS-67-vendor-scorecard-analytics,01-model-company/workflows/VS-67-vendor-scorecard-analytics/PA-67.2-vendor-performance-review-rating.md,13.33,26.67,0.154,1,0,0,0,0.0,0.0,0,live,
104,W2646,Mobile App Feature Roadmap & Prioritization,VS-75-digital-engagement-app,01-model-company/workflows/VS-75-digital-engagement-app/PA-75.1-mobile-app-product-feature-management.md,13.33,26.67,0.154,1,0,0,2,0.0,0.0,0,live,
105,W2718,Green Product Identification & Certification Verification,VS-78-green-building-advisory,01-model-company/workflows/VS-78-green-building-advisory/PA-78.1-green-product-curation-certification.md,13.33,26.67,0.154,1,0,0,0,2.0,2.0,0,live,
106,W2723,Green Product Customer Education Content Development,VS-78-green-building-advisory,01-model-company/workflows/VS-78-green-building-advisory/PA-78.1-green-product-curation-certification.md,13.33,26.67,0.154,1,0,2,0,0.0,0.0,0,live,
107,W592,E-Commerce Customer Delivery Tracking & Proof of Delivery Management,VS-10-ecommerce-digital,01-model-company/workflows/VS-10-ecommerce-digital/PA-10.2-order-fulfillment-and-delivery.md,26.03,26.03,0.150,3,2,0,0,0.0,0.0,5,dormant,CAP-F04
108,W1390,"Store POS Transaction Data Quality Validation, Anomaly Detection & Correction Processing",VS-28-data-analytics-bi,01-model-company/workflows/VS-28-data-analytics-bi/PA-28.2-data-engineering-and-quality.md,15.18,26.03,0.150,2,2,0,0,0.0,0.0,2,live,
109,W1938,VMI Stock Level Monitoring & Exception Management,VS-45-consignment-vmi-operations,01-model-company/workflows/VS-45-consignment-vmi-operations/PA-45.2-vmi-operations.md,15.18,26.03,0.150,2,1,0,0,0.0,0.0,0,live,
110,W1664,Competitive Pricing Intelligence & Benchmarking,VS-33-strategic-planning,01-model-company/workflows/VS-33-strategic-planning/PA-33.3-competitive-intelligence.md,26.00,26.00,0.150,3,0,0,0,0.0,0.0,0,live,
